Year	Named Storms	Named Storm Days	Hurricanes	Hurricane Days	Intense Hurricanes	Intense Hurricane Days	ACE	HDP	PDI	NTC	Tropical Storms	Category 1	Category 2	Category 3	Category 4	Category 5
1920	4	22.75	4	7.75	0	0	31.08	19.62	0.21	31	0	2	2	0	0	0
1921	6	39.5	4	19.25	2	4.5	75.07	59.37	0.59	78	2	1	1	1	1	0
1922	4	28.25	2	11.75	1	5.75	57.52	46.32	0.53	57	2	0	1	0	1	0
1923	7	37.5	3	13.25	1	2.5	54.38	38.72	0.39	58	4	0	2	1	0	0
1924	8	50.75	5	23	2	5	89.4	69.23	0.69	92	3	1	2	1	1	0
1925	2	6.75	1	1.5	0	0	6.77	3.19	0.04	10	1	0	1	0	0	0
1926	11	86.75	8	55	6	23	222.36	196.61	2	229	3	0	2	2	4	0
1927	7	36.75	4	13.25	2	3.75	56.04	40.57	0.42	72	3	1	1	2	0	0
1928	6	43.5	4	12.25	1	5.5	75.11	51.47	0.67	70	2	2	1	0	0	1
1929	3	19	3	13	1	2.5	43.43	38.13	0.36	45	0	2	0	0	1	0
1930	2	23.5	2	9.5	1	1.5	39.07	28.23	0.3	36	0	0	1	0	1	0
1931	9	47	2	3	1	0.25	39.36	7.23	0.2	47	7	0	1	1	0	0
1932	11	78	6	27	4	11.25	135.97	101.19	1.15	147	5	1	1	1	2	1
1933	21	136	10	50.25	5	10.5	213.02	151.7	1.6	216	11	2	3	3	2	0
1934	11	59	6	11.75	0	0	60.28	24.85	0.33	64	5	4	2	0	0	0
1935	6	42.5	5	26.75	3	7.25	94.67	79.97	0.78	103	1	2	0	2	0	1
1936	16	70	7	30.5	1	2.5	107.93	83.39	0.78	108	9	4	2	1	0	0
1937	9	47	3	15	0	0	60.92	39.77	0.4	50	6	0	3	0	0	0
1938	8	39.25	3	14.75	1	4.5	72.55	53.8	0.63	68	5	0	2	0	0	1
1939	5	28.5	3	5.5	1	1.5	34.05	15.97	0.22	43	2	2	0	0	1	0
1940	8	46.25	4	14	0	0	52.19	30.28	0.31	50	4	3	1	0	0	0
1941	6	42.25	4	15.75	2	1.5	60.5	39.42	0.41	66	2	2	0	2	0	0
1942	10	53.25	4	14.25	1	0.75	66.4	37.2	0.43	66	6	1	2	1	0	0
1943	10	46.75	5	24	2	4.5	94.43	74.18	0.75	93	5	1	2	1	1	0
1944	11	53	7	27.25	3	5.25	96.49	75.24	0.73	115	4	3	1	2	1	0
1945	11	41.75	5	13.75	3	4.75	66.78	43.83	0.51	94	6	0	2	1	2	0
1946	6	16.75	3	5.75	1	0.75	21.63	14.28	0.15	38	3	1	1	0	1	0
1947	9	52.5	5	28	2	7.25	112.47	93.29	0.99	105	4	2	1	1	0	1
1948	9	51.75	6	28.75	4	7	106.48	87.56	0.85	122	3	2	0	2	2	0
1949	13	62.25	7	21.5	3	5.25	97.89	66.31	0.73	117	6	1	3	1	2	0
1950	13	98	11	59.5	8	18.5	242.92	211.06	2.23	247	2	1	2	5	2	1
1951	10	57.75	8	36.25	5	8.25	136.62	117.78	1.17	148	2	2	1	3	1	1
1952	7	39.75	6	22.75	3	7	87.07	72.98	0.72	103	1	1	2	2	1	0
1953	14	64.5	6	18	4	6.75	103.65	63.03	0.8	127	8	1	1	3	1	0
1954	11	51.75	8	31.5	2	9.5	113.16	95.42	0.93	127	3	3	3	1	1	0
1955	12	82.75	9	46.75	6	17.25	199.33	168.76	1.8	207	3	1	2	4	1	1
1956	8	30	4	12.75	2	2.75	54.21	39.84	0.42	68	4	2	0	1	1	0
1957	8	38	3	21	2	6.5	83.76	70.6	0.74	86	5	1	0	0	2	0
1958	10	55.5	7	30.25	5	9.5	120.89	98.49	1.02	144	3	2	0	2	2	1
1959	11	40	7	22	2	4.25	77.5	61.9	0.61	96	4	5	0	1	1	0
1960	7	29.5	4	18.25	2	9.75	88	79.64	0.9	93	3	1	1	0	0	2
1961	11	70.75	8	47.5	7	24.5	205.4	182.38	1.95	230	3	1	0	3	2	2
1962	5	22.25	3	10.75	1	0.5	35.57	26.12	0.25	41	2	0	2	1	0	0
1963	9	52	7	37.25	2	7	117.93	106.14	0.97	116	2	2	3	1	1	0
1964	12	71.25	6	43	6	14.75	169.77	147.43	1.51	184	6	0	0	2	4	0
1965	6	39.5	4	27.25	1	7.5	84.33	76.05	0.7	86	2	2	1	0	1	0
1966	11	64	7	41.75	3	8.75	145.22	125.41	1.21	140	4	4	0	2	1	0
1967	8	58	6	36.25	1	5.75	121.71	101.57	0.98	102	2	4	1	0	0	1
1968	7	26.5	4	10	0	0	35.2	17.79	0.2	39	3	4	0	0	0	0
1969	17	83.25	12	40	5	6.75	157.75	113.88	1.24	178	5	5	2	4	0	1
1970	10	23.25	5	6.75	2	1	34.24	17.8	0.23	62	5	2	1	2	0	0
1971	13	63	6	28.75	1	1	96.77	64.79	0.65	91	7	4	1	0	0	1
1972	4	21	3	6.25	0	0	27.52	14.46	0.17	27	1	2	1	0	0	0
1973	7	32.5	4	10	1	0.25	42.73	21.43	0.26	49	3	3	0	1	0	0
1974	7	31.5	4	14.25	2	4.25	60.9	45.65	0.49	72	3	1	1	1	1	0
1975	8	42.5	6	20.5	3	2.25	72.95	53.3	0.53	88	2	1	2	2	1	0
1976	8	44.75	6	25.5	2	1	81.23	65.09	0.59	81	2	2	2	2	0	0
1977	6	13.75	5	6.75	1	1	24.71	18.59	0.2	44	1	4	0	0	0	1
1978	11	40.5	5	13.5	2	3.5	61.52	40.22	0.45	82	6	2	1	0	2	0
1979	8	44.25	5	21.5	2	5.75	91.27	72.8	0.82	91	3	2	1	0	1	1
1980	11	60	9	38.25	2	7.25	146.71	126.01	1.35	130	2	4	3	1	0	1
1981	11	59.75	7	22.5	3	3.75	93.26	62.75	0.67	109	4	3	1	2	1	0
1982	5	16.25	2	5.75	1	1.25	28.6	18.11	0.21	35	3	1	0	0	1	0
1983	4	13.5	3	3.5	1	0.25	16.84	7.85	0.1	30	1	2	0	1	0	0
1984	12	51.25	5	18.25	1	0.75	70.94	42.37	0.46	75	7	3	1	0	1	0
1985	11	51.25	7	21.25	3	4	87.98	60.69	0.65	106	4	4	0	2	1	0
1986	6	23.25	4	10.5	0	0	35.79	25.17	0.24	37	2	3	1	0	0	0
1987	7	37.25	3	5	1	0.5	34.36	11.3	0.19	46	4	2	0	1	0	0
1988	12	46.75	5	21.25	3	9	103.02	81.07	0.93	117	7	2	0	0	2	1
1989	11	66	7	31.75	2	9.75	135.26	107.83	1.16	130	4	3	2	0	1	1
1990	14	66.25	8	26.75	1	1	91.17	57.38	0.58	98	6	5	2	1	0	0
1991	8	22.25	4	8.25	2	1.25	33.97	22.49	0.24	57	4	1	1	1	1	0
